review_id,employee_id,review_period,review_date,review_status,outcome_category,review_cycle
REV_EMP000009_2023-H2,EMP000009,2023-H2,2026-02-08,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000010_2022-H2,EMP000010,2022-H2,2025-12-07,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000010_2023-H1,EMP000010,2023-H1,2025-02-19,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000010_2023-H2,EMP000010,2023-H2,2025-11-29,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000011_2022-H1,EMP000011,2022-H1,2026-01-11,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000011_2022-H2,EMP000011,2022-H2,2026-04-14,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000011_2023-H1,EMP000011,2023-H1,2025-11-01,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000011_2023-H2,EMP000011,2023-H2,2025-03-30,COMPLETED,OUTSTANDING,2023-H2
REV_EMP000012_2022-H1,EMP000012,2022-H1,2025-03-27,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000012_2022-H2,EMP000012,2022-H2,2024-11-14,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000012_2023-H1,EMP000012,2023-H1,2025-04-14,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000012_2023-H2,EMP000012,2023-H2,2026-05-16,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000013_2022-H1,EMP000013,2022-H1,2025-08-20,COMPLETED,NEEDS_IMPROVEMENT,2022-H1
REV_EMP000013_2022-H2,EMP000013,2022-H2,2025-05-29,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000013_2023-H1,EMP000013,2023-H1,2026-03-05,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000013_2023-H2,EMP000013,2023-H2,2026-09-07,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000014_2023-H1,EMP000014,2023-H1,2025-12-11,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H1
REV_EMP000015_2022-H1,EMP000015,2022-H1,2024-11-28,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000015_2023-H2,EMP000015,2023-H2,2024-12-16,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000016_2023-H1,EMP000016,2023-H1,2026-02-23,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000016_2023-H2,EMP000016,2023-H2,2025-08-07,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000017_2022-H1,EMP000017,2022-H1,2025-08-14,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000017_2022-H2,EMP000017,2022-H2,2025-06-30,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000017_2023-H2,EMP000017,2023-H2,2025-06-17,COMPLETED,NEEDS_IMPROVEMENT,2023-H2
REV_EMP000018_2022-H1,EMP000018,2022-H1,2025-02-14,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000018_2022-H2,EMP000018,2022-H2,2025-05-27,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000018_2023-H2,EMP000018,2023-H2,2025-06-14,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000019_2022-H1,EMP000019,2022-H1,2025-12-25,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000019_2023-H1,EMP000019,2023-H1,2026-02-11,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000019_2023-H2,EMP000019,2023-H2,2024-10-08,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000020_2022-H1,EMP000020,2022-H1,2026-05-10,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000020_2022-H2,EMP000020,2022-H2,2025-05-14,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000020_2023-H2,EMP000020,2023-H2,2025-01-29,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000021_2022-H1,EMP000021,2022-H1,2025-06-18,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000021_2022-H2,EMP000021,2022-H2,2026-01-11,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000021_2023-H1,EMP000021,2023-H1,2026-06-20,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000021_2023-H2,EMP000021,2023-H2,2026-06-05,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000022_2022-H1,EMP000022,2022-H1,2025-08-29,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000022_2023-H1,EMP000022,2023-H1,2026-01-17,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000023_2022-H2,EMP000023,2022-H2,2025-01-11,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000023_2023-H1,EMP000023,2023-H1,2025-08-28,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000023_2023-H2,EMP000023,2023-H2,2024-10-24,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000024_2022-H1,EMP000024,2022-H1,2026-09-07,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000024_2022-H2,EMP000024,2022-H2,2026-06-17,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000024_2023-H1,EMP000024,2023-H1,2025-03-20,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000024_2023-H2,EMP000024,2023-H2,2025-02-22,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000025_2023-H1,EMP000025,2023-H1,2026-03-06,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000025_2023-H2,EMP000025,2023-H2,2025-07-07,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000026_2022-H1,EMP000026,2022-H1,2025-01-19,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000026_2023-H1,EMP000026,2023-H1,2026-05-01,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000027_2022-H2,EMP000027,2022-H2,2026-04-08,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000027_2023-H2,EMP000027,2023-H2,2026-07-14,COMPLETED,OUTSTANDING,2023-H2
REV_EMP000028_2022-H2,EMP000028,2022-H2,2024-11-25,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000028_2023-H1,EMP000028,2023-H1,2024-12-16,COMPLETED,OUTSTANDING,2023-H1
REV_EMP000029_2022-H1,EMP000029,2022-H1,2026-04-17,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000029_2022-H2,EMP000029,2022-H2,2024-11-01,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000029_2023-H1,EMP000029,2023-H1,2025-03-27,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000029_2023-H2,EMP000029,2023-H2,2026-01-15,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000030_2022-H1,EMP000030,2022-H1,2026-09-09,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000030_2022-H2,EMP000030,2022-H2,2025-01-12,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000030_2023-H1,EMP000030,2023-H1,2026-07-26,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000030_2023-H2,EMP000030,2023-H2,2026-06-28,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000031_2022-H1,EMP000031,2022-H1,2026-06-19,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000031_2022-H2,EMP000031,2022-H2,2025-05-01,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000032_2022-H2,EMP000032,2022-H2,2024-09-30,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000032_2023-H1,EMP000032,2023-H1,2025-06-13,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000033_2022-H1,EMP000033,2022-H1,2026-03-12,COMPLETED,NEEDS_IMPROVEMENT,2022-H1
REV_EMP000033_2023-H1,EMP000033,2023-H1,2026-06-06,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H1
REV_EMP000033_2023-H2,EMP000033,2023-H2,2024-12-15,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000034_2022-H1,EMP000034,2022-H1,2025-05-14,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000034_2022-H2,EMP000034,2022-H2,2025-09-04,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000034_2023-H1,EMP000034,2023-H1,2025-09-20,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000034_2023-H2,EMP000034,2023-H2,2024-10-07,COMPLETED,NEEDS_IMPROVEMENT,2023-H2
REV_EMP000035_2022-H1,EMP000035,2022-H1,2025-06-04,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000035_2022-H2,EMP000035,2022-H2,2025-03-01,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000035_2023-H1,EMP000035,2023-H1,2026-04-17,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000036_2022-H1,EMP000036,2022-H1,2025-11-11,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000036_2022-H2,EMP000036,2022-H2,2025-03-03,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000036_2023-H1,EMP000036,2023-H1,2025-02-25,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000036_2023-H2,EMP000036,2023-H2,2025-11-18,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000037_2022-H2,EMP000037,2022-H2,2025-10-31,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000037_2023-H1,EMP000037,2023-H1,2026-04-25,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000037_2023-H2,EMP000037,2023-H2,2025-04-08,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000038_2022-H1,EMP000038,2022-H1,2025-11-20,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000038_2022-H2,EMP000038,2022-H2,2025-09-30,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000038_2023-H1,EMP000038,2023-H1,2026-01-16,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000038_2023-H2,EMP000038,2023-H2,2026-04-09,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000039_2023-H1,EMP000039,2023-H1,2025-01-07,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000039_2023-H2,EMP000039,2023-H2,2026-03-13,COMPLETED,NEEDS_IMPROVEMENT,2023-H2
REV_EMP000040_2022-H1,EMP000040,2022-H1,2026-03-16,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000040_2023-H1,EMP000040,2023-H1,2026-02-21,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000040_2023-H2,EMP000040,2023-H2,2024-10-04,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000041_2022-H1,EMP000041,2022-H1,2025-07-09,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000041_2022-H2,EMP000041,2022-H2,2025-12-16,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000041_2023-H2,EMP000041,2023-H2,2026-08-24,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000042_2022-H2,EMP000042,2022-H2,2026-02-17,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000042_2023-H1,EMP000042,2023-H1,2025-11-03,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000042_2023-H2,EMP000042,2023-H2,2024-10-23,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000043_2022-H1,EMP000043,2022-H1,2025-04-06,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000043_2022-H2,EMP000043,2022-H2,2025-01-30,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000043_2023-H1,EMP000043,2023-H1,2024-11-05,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000043_2023-H2,EMP000043,2023-H2,2025-04-28,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000044_2022-H1,EMP000044,2022-H1,2025-02-22,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000044_2022-H2,EMP000044,2022-H2,2026-05-25,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000044_2023-H1,EMP000044,2023-H1,2026-03-15,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000044_2023-H2,EMP000044,2023-H2,2026-01-12,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000045_2022-H1,EMP000045,2022-H1,2025-04-18,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000045_2022-H2,EMP000045,2022-H2,2024-10-31,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000045_2023-H1,EMP000045,2023-H1,2025-09-16,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000046_2022-H1,EMP000046,2022-H1,2026-02-10,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000046_2022-H2,EMP000046,2022-H2,2024-09-26,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000046_2023-H2,EMP000046,2023-H2,2024-11-10,COMPLETED,NEEDS_IMPROVEMENT,2023-H2
REV_EMP000047_2022-H1,EMP000047,2022-H1,2025-07-18,COMPLETED,NEEDS_IMPROVEMENT,2022-H1
REV_EMP000047_2022-H2,EMP000047,2022-H2,2026-02-14,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000047_2023-H1,EMP000047,2023-H1,2025-04-18,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H1
REV_EMP000047_2023-H2,EMP000047,2023-H2,2026-02-16,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000048_2022-H1,EMP000048,2022-H1,2026-07-13,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000048_2022-H2,EMP000048,2022-H2,2026-08-30,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000048_2023-H1,EMP000048,2023-H1,2026-02-14,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000048_2023-H2,EMP000048,2023-H2,2025-06-26,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000049_2023-H1,EMP000049,2023-H1,2026-07-23,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H1
REV_EMP000049_2023-H2,EMP000049,2023-H2,2024-12-12,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000050_2022-H1,EMP000050,2022-H1,2024-10-04,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000050_2022-H2,EMP000050,2022-H2,2025-05-05,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000050_2023-H1,EMP000050,2023-H1,2026-07-25,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000050_2023-H2,EMP000050,2023-H2,2026-08-07,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000051_2022-H1,EMP000051,2022-H1,2026-02-06,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000051_2022-H2,EMP000051,2022-H2,2025-07-17,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000052_2022-H1,EMP000052,2022-H1,2025-03-18,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000052_2022-H2,EMP000052,2022-H2,2025-07-12,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000052_2023-H1,EMP000052,2023-H1,2025-10-19,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000052_2023-H2,EMP000052,2023-H2,2026-03-25,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000053_2022-H1,EMP000053,2022-H1,2024-12-06,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000053_2022-H2,EMP000053,2022-H2,2026-08-23,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000053_2023-H1,EMP000053,2023-H1,2025-05-23,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000054_2022-H1,EMP000054,2022-H1,2025-10-01,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000054_2022-H2,EMP000054,2022-H2,2026-07-25,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000054_2023-H1,EMP000054,2023-H1,2025-12-27,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000055_2023-H1,EMP000055,2023-H1,2025-11-06,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H1
REV_EMP000055_2023-H2,EMP000055,2023-H2,2024-11-27,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000056_2022-H1,EMP000056,2022-H1,2025-02-11,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000056_2022-H2,EMP000056,2022-H2,2025-02-21,COMPLETED,NEEDS_IMPROVEMENT,2022-H2
REV_EMP000056_2023-H1,EMP000056,2023-H1,2025-10-13,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000056_2023-H2,EMP000056,2023-H2,2025-09-10,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000057_2022-H1,EMP000057,2022-H1,2025-11-29,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000057_2022-H2,EMP000057,2022-H2,2026-09-09,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000057_2023-H2,EMP000057,2023-H2,2026-03-27,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000058_2023-H1,EMP000058,2023-H1,2024-10-06,COMPLETED,OUTSTANDING,2023-H1
REV_EMP000058_2023-H2,EMP000058,2023-H2,2024-10-20,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000059_2022-H1,EMP000059,2022-H1,2025-03-31,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000059_2022-H2,EMP000059,2022-H2,2026-09-06,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000059_2023-H1,EMP000059,2023-H1,2025-11-05,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000059_2023-H2,EMP000059,2023-H2,2025-05-14,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000060_2022-H1,EMP000060,2022-H1,2025-06-06,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000060_2022-H2,EMP000060,2022-H2,2025-10-05,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000060_2023-H1,EMP000060,2023-H1,2025-07-22,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000061_2022-H1,EMP000061,2022-H1,2026-04-21,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000061_2022-H2,EMP000061,2022-H2,2025-01-19,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000061_2023-H1,EMP000061,2023-H1,2024-10-04,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000061_2023-H2,EMP000061,2023-H2,2025-06-16,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000062_2022-H1,EMP000062,2022-H1,2026-03-05,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000062_2022-H2,EMP000062,2022-H2,2025-06-20,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000062_2023-H1,EMP000062,2023-H1,2025-06-23,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000062_2023-H2,EMP000062,2023-H2,2026-01-18,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000063_2022-H2,EMP000063,2022-H2,2025-05-12,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000063_2023-H1,EMP000063,2023-H1,2025-03-22,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000063_2023-H2,EMP000063,2023-H2,2025-10-14,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000064_2022-H1,EMP000064,2022-H1,2025-04-22,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000064_2022-H2,EMP000064,2022-H2,2026-06-12,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000064_2023-H1,EMP000064,2023-H1,2024-11-07,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000064_2023-H2,EMP000064,2023-H2,2026-01-19,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000065_2022-H1,EMP000065,2022-H1,2025-04-08,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000065_2022-H2,EMP000065,2022-H2,2026-08-03,COMPLETED,OUTSTANDING,2022-H2
REV_EMP000065_2023-H1,EMP000065,2023-H1,2025-07-17,COMPLETED,OUTSTANDING,2023-H1
REV_EMP000065_2023-H2,EMP000065,2023-H2,2026-08-12,COMPLETED,NEEDS_IMPROVEMENT,2023-H2
REV_EMP000066_2022-H1,EMP000066,2022-H1,2026-06-14,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000066_2022-H2,EMP000066,2022-H2,2024-10-12,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000066_2023-H1,EMP000066,2023-H1,2025-11-25,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000066_2023-H2,EMP000066,2023-H2,2025-04-25,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000067_2022-H1,EMP000067,2022-H1,2025-03-14,COMPLETED,NEEDS_IMPROVEMENT,2022-H1
REV_EMP000067_2022-H2,EMP000067,2022-H2,2025-01-15,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000067_2023-H1,EMP000067,2023-H1,2025-06-12,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000067_2023-H2,EMP000067,2023-H2,2026-08-17,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000068_2022-H1,EMP000068,2022-H1,2025-07-22,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000068_2022-H2,EMP000068,2022-H2,2026-02-12,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000068_2023-H1,EMP000068,2023-H1,2025-01-04,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000068_2023-H2,EMP000068,2023-H2,2024-11-27,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000069_2022-H1,EMP000069,2022-H1,2026-04-09,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000069_2022-H2,EMP000069,2022-H2,2025-07-13,COMPLETED,NEEDS_IMPROVEMENT,2022-H2
REV_EMP000069_2023-H2,EMP000069,2023-H2,2025-10-29,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000070_2022-H1,EMP000070,2022-H1,2026-02-28,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000070_2022-H2,EMP000070,2022-H2,2026-01-08,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000070_2023-H1,EMP000070,2023-H1,2026-07-29,COMPLETED,NEEDS_IMPROVEMENT,2023-H1
REV_EMP000071_2022-H1,EMP000071,2022-H1,2026-01-18,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000071_2022-H2,EMP000071,2022-H2,2026-03-07,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000071_2023-H1,EMP000071,2023-H1,2025-03-15,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000071_2023-H2,EMP000071,2023-H2,2025-08-10,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000072_2022-H1,EMP000072,2022-H1,2025-03-25,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000072_2022-H2,EMP000072,2022-H2,2025-12-08,COMPLETED,MEETS_EXPECTATIONS,2022-H2
