issue_id,project_id,jira_user_id,issue_type,summary,priority,created_timestamp,resolved_timestamp,status,sprint_id,story_points
CONF-2196,PRJ-9,USR-67595,Story,Growth appear project wind door.,Low,2026-01-21 00:13:30,2026-01-22 00:13:30,DONE,SPR-PRJ-9-23,1
ORGA-7135,PRJ-6,USR-63841,Task,Address some once how during why.,Medium,2026-03-14 13:45:54,2026-03-16 13:45:54,DONE,SPR-PRJ-7-6,8
ANIM-9802,PRJ-2,USR-28030,Story,Read choice side eat matter rather full.,High,2026-05-10 15:06:56,2026-05-23 15:06:56,DONE,SPR-PRJ-0-5,3
ORGA-9715,PRJ-6,USR-41358,Task,Art green child movie blue maintain first next.,Medium,2026-07-18 22:41:56,2026-07-21 22:41:56,DONE,SPR-PRJ-2-22,2
ORGA-1256,PRJ-6,USR-71213,Bug,South just cover ready group care.,High,2026-06-04 07:37:16,2026-06-12 07:37:16,DONE,SPR-PRJ-6-9,1
PROF-9843,PRJ-3,USR-41147,Story,Magazine join far.,High,2026-09-10 23:13:55,2026-09-19 23:13:55,DONE,SPR-PRJ-3-2,2
CONF-6253,PRJ-9,USR-55745,Bug,Couple cost girl run every story trial.,Low,2026-06-24 15:56:53,2026-06-28 15:56:53,DONE,SPR-PRJ-4-9,3
ANIM-7999,PRJ-2,USR-24366,Task,Attention choice fast enjoy.,Low,2026-04-30 07:35:21,2026-05-11 07:35:21,DONE,SPR-PRJ-4-1,8
ANIM-5913,PRJ-2,USR-25292,Task,A point here control affect task simply.,High,2026-02-16 12:49:25,2026-03-02 12:49:25,DONE,SPR-PRJ-2-9,3
LIST-7761,PRJ-8,USR-58689,Story,Return probably much hold model marriage.,Medium,2025-12-28 16:44:14,2026-01-01 16:44:14,DONE,SPR-PRJ-2-17,2
WIN-2514,PRJ-5,USR-80282,Story,Party follow political book.,Medium,2026-04-29 03:08:16,2026-05-06 03:08:16,DONE,SPR-PRJ-7-4,8
CONF-4555,PRJ-9,USR-27139,Task,Analysis visit condition all.,Medium,2026-04-18 03:40:03,2026-04-19 03:40:03,DONE,SPR-PRJ-2-6,2
CONF-4350,PRJ-9,USR-94518,Task,Court all politics home majority perhaps opportunity.,Medium,2025-11-07 12:54:42,2025-11-14 12:54:42,DONE,SPR-PRJ-4-23,8
WIN-9401,PRJ-5,USR-63354,Bug,Determine responsibility actually TV pretty up.,Medium,2025-10-16 00:35:47,2025-10-29 00:35:47,DONE,SPR-PRJ-8-22,3
DEVE-4625,PRJ-0,USR-10772,Bug,Life police guess sea.,Low,2026-08-16 02:36:41,2026-08-26 02:36:41,DONE,SPR-PRJ-7-16,5
PROF-7223,PRJ-3,USR-16428,Bug,State some around pay more same.,Low,2026-09-07 18:30:00,2026-09-18 18:30:00,DONE,SPR-PRJ-3-14,3
TERM-3756,PRJ-7,USR-15229,Story,Back democratic mind big discuss.,Low,2026-08-17 00:47:00,2026-08-26 00:47:00,DONE,SPR-PRJ-5-5,2
DEVE-2217,PRJ-0,USR-38746,Story,Cover prevent now way next.,Medium,2026-02-23 14:37:52,2026-02-26 14:37:52,DONE,SPR-PRJ-8-23,2
PROF-9285,PRJ-3,USR-82910,Bug,Second short office purpose reflect interview.,Low,2026-05-01 17:20:31,2026-05-11 17:20:31,DONE,SPR-PRJ-9-17,5
LIST-7739,PRJ-8,USR-22249,Task,Society nearly measure price.,Low,2025-11-06 09:23:23,2025-11-11 09:23:23,DONE,SPR-PRJ-0-4,8
LIST-3439,PRJ-8,USR-69609,Task,Kitchen good firm yard foot he share issue.,Medium,2026-04-22 07:23:54,2026-04-27 07:23:54,DONE,SPR-PRJ-8-11,5
CONF-4984,PRJ-9,USR-55508,Bug,Part none degree she unit effect.,High,2026-07-05 20:39:44,2026-07-16 20:39:44,DONE,SPR-PRJ-9-3,1
LIST-8798,PRJ-8,USR-58870,Story,Where a alone expect administration career three.,High,2026-03-21 15:47:28,2026-03-29 15:47:28,DONE,SPR-PRJ-9-0,5
PROF-4463,PRJ-3,USR-86106,Bug,Worker Democrat fire sign wall.,Medium,2025-09-29 12:18:40,2025-10-04 12:18:40,DONE,SPR-PRJ-0-11,1
DEVE-3938,PRJ-0,USR-55082,Story,Try memory number occur behind.,Low,2026-08-12 07:49:33,2026-08-15 07:49:33,DONE,SPR-PRJ-8-0,5
PROF-7375,PRJ-3,USR-50135,Task,Choose enter threat economic eight feel.,Low,2026-03-24 18:02:34,2026-03-27 18:02:34,DONE,SPR-PRJ-8-10,1
ORGA-4803,PRJ-6,USR-22656,Bug,Notice design baby foot lot major.,Low,2026-05-06 12:24:39,2026-05-13 12:24:39,DONE,SPR-PRJ-8-6,3
TERM-4737,PRJ-7,USR-14278,Task,Standard believe politics also space high sister.,High,2026-09-11 02:35:49,2026-09-22 02:35:49,DONE,SPR-PRJ-6-5,5
THES-2344,PRJ-1,USR-88997,Bug,Girl stage indicate test thank dinner.,High,2026-09-19 23:33:01,2026-10-01 23:33:01,DONE,SPR-PRJ-4-3,3
CHOI-8286,PRJ-4,USR-17100,Story,Up plant place approach modern floor north force.,High,2026-06-07 11:25:41,2026-06-10 11:25:41,DONE,SPR-PRJ-4-14,5
THES-1430,PRJ-1,USR-19287,Bug,Check purpose young wife send.,Low,2026-06-24 22:45:37,2026-07-07 22:45:37,DONE,SPR-PRJ-3-11,5
PROF-9537,PRJ-3,USR-15229,Story,Bed it skill challenge from live seat.,Medium,2026-05-08 08:50:56,2026-05-13 08:50:56,DONE,SPR-PRJ-2-20,5
CHOI-7899,PRJ-4,USR-73699,Task,Energy huge its recently seven lose.,Medium,2026-04-27 20:14:09,2026-05-01 20:14:09,DONE,SPR-PRJ-7-16,5
THES-3219,PRJ-1,USR-12719,Task,House number night young modern drug entire.,Low,2025-12-12 21:35:26,2025-12-19 21:35:26,DONE,SPR-PRJ-8-13,3
CONF-3230,PRJ-9,USR-69898,Bug,Range office both including half couple.,High,2026-03-12 23:35:18,2026-03-20 23:35:18,DONE,SPR-PRJ-3-8,2
TERM-4971,PRJ-7,USR-78062,Task,Pretty show college glass start sort perhaps key.,Medium,2026-02-07 18:17:24,2026-02-09 18:17:24,DONE,SPR-PRJ-9-22,8
LIST-1440,PRJ-8,USR-15100,Bug,Current health serious table both.,High,2026-09-20 21:22:36,2026-09-28 21:22:36,DONE,SPR-PRJ-8-12,3
TERM-3280,PRJ-7,USR-40311,Bug,We unit than star add.,High,2025-10-18 03:24:59,2025-10-30 03:24:59,DONE,SPR-PRJ-4-12,5
CONF-7566,PRJ-9,USR-21802,Bug,Figure likely forward science.,Medium,2026-06-23 09:43:31,2026-07-02 09:43:31,DONE,SPR-PRJ-0-9,3
THES-2791,PRJ-1,USR-87184,Task,National seek nature performance yeah.,High,2025-12-18 05:54:22,2025-12-29 05:54:22,DONE,SPR-PRJ-6-12,1
ORGA-6432,PRJ-6,USR-34931,Story,Heavy town money.,High,2026-06-23 21:37:04,2026-06-28 21:37:04,DONE,SPR-PRJ-2-8,8
CONF-4621,PRJ-9,USR-79942,Bug,Art customer recent even.,Low,2026-01-04 04:06:39,2026-01-16 04:06:39,DONE,SPR-PRJ-5-8,2
CHOI-7815,PRJ-4,USR-31579,Bug,At produce production.,High,2026-03-26 12:50:03,2026-04-01 12:50:03,DONE,SPR-PRJ-3-7,3
WIN-8801,PRJ-5,USR-18109,Task,Ten affect test power discuss herself.,Medium,2026-09-16 11:38:20,2026-09-18 11:38:20,DONE,SPR-PRJ-3-4,1
ANIM-4996,PRJ-2,USR-65518,Task,Tough machine others because.,Low,2026-06-29 13:51:51,2026-07-06 13:51:51,DONE,SPR-PRJ-4-22,2
ORGA-7481,PRJ-6,USR-45972,Story,Whom night Republican always two figure majority.,Medium,2025-12-13 04:44:11,2025-12-23 04:44:11,DONE,SPR-PRJ-4-13,5
CONF-2667,PRJ-9,USR-53025,Task,Adult range green few.,Medium,2026-07-13 01:18:34,2026-07-17 01:18:34,DONE,SPR-PRJ-4-21,1
WIN-7367,PRJ-5,USR-73653,Task,Speech personal these three spring.,Medium,2026-04-09 15:05:15,2026-04-23 15:05:15,DONE,SPR-PRJ-4-21,8
CONF-2388,PRJ-9,USR-69638,Story,We difficult game hotel case role minute.,Medium,2025-10-08 09:43:38,2025-10-10 09:43:38,DONE,SPR-PRJ-1-22,3
ORGA-3258,PRJ-6,USR-96511,Task,Their rather individual of interview fine painting last.,Low,2026-06-17 06:27:20,2026-06-26 06:27:20,DONE,SPR-PRJ-7-9,2
ANIM-4065,PRJ-2,USR-66244,Story,Present ok range dark catch.,Medium,2025-11-17 03:17:26,2025-11-18 03:17:26,DONE,SPR-PRJ-5-4,2
TERM-7703,PRJ-7,USR-96057,Task,Travel involve training show prevent north citizen.,Medium,2026-06-21 08:40:10,2026-06-24 08:40:10,DONE,SPR-PRJ-0-21,8
CHOI-4683,PRJ-4,USR-12154,Task,Mouth rest contain style certainly ahead five.,Low,2025-10-23 07:09:28,2025-11-04 07:09:28,DONE,SPR-PRJ-8-5,5
THES-5389,PRJ-1,USR-91230,Task,Field seat start PM scene charge.,Low,2026-03-06 18:13:09,2026-03-20 18:13:09,DONE,SPR-PRJ-8-1,1
ORGA-2677,PRJ-6,USR-58655,Story,Capital ago worry pay.,Medium,2025-12-08 22:45:12,2025-12-22 22:45:12,DONE,SPR-PRJ-0-8,5
THES-4882,PRJ-1,USR-46046,Bug,Partner others discuss ago bag sister care.,Medium,2026-05-20 03:43:42,2026-06-03 03:43:42,DONE,SPR-PRJ-7-13,8
ANIM-4385,PRJ-2,USR-80381,Bug,Light power contain hold listen clearly difficult impact.,Medium,2026-08-21 13:39:54,2026-08-30 13:39:54,DONE,SPR-PRJ-2-23,8
CHOI-5740,PRJ-4,USR-30644,Bug,Wear development provide dark daughter.,Low,2025-10-02 19:01:41,2025-10-16 19:01:41,DONE,SPR-PRJ-1-0,2
ANIM-3174,PRJ-2,USR-88139,Story,Term majority foot leader east if.,Low,2025-12-04 17:34:25,2025-12-11 17:34:25,DONE,SPR-PRJ-5-5,2
ORGA-7146,PRJ-6,USR-18855,Story,Save herself fine particularly score order modern then.,Medium,2025-10-13 04:56:03,2025-10-22 04:56:03,DONE,SPR-PRJ-7-23,3
WIN-1040,PRJ-5,USR-91006,Story,Minute later still.,Low,2026-07-29 13:42:36,2026-08-06 13:42:36,DONE,SPR-PRJ-6-18,3
ORGA-4470,PRJ-6,USR-17518,Task,Million how same newspaper might.,Medium,2025-10-13 10:25:48,2025-10-22 10:25:48,DONE,SPR-PRJ-6-3,2
DEVE-1752,PRJ-0,USR-60181,Task,Couple keep this.,High,2026-05-29 21:09:20,2026-05-31 21:09:20,DONE,SPR-PRJ-9-21,2
ANIM-5945,PRJ-2,USR-17263,Task,Leave institution party approach might.,High,2026-07-24 10:16:39,2026-08-04 10:16:39,DONE,SPR-PRJ-3-20,3
ANIM-1848,PRJ-2,USR-54791,Bug,Stop later reveal both single visit receive.,High,2025-11-21 04:51:16,2025-11-28 04:51:16,DONE,SPR-PRJ-6-23,1
TERM-2276,PRJ-7,USR-48684,Bug,Including late condition opportunity Republican dark.,Medium,2025-11-18 12:14:05,2025-11-19 12:14:05,DONE,SPR-PRJ-0-2,3
PROF-7276,PRJ-3,USR-17100,Story,Economic reality trade someone.,Medium,2026-03-22 13:02:23,2026-03-28 13:02:23,DONE,SPR-PRJ-9-9,3
THES-9691,PRJ-1,USR-33028,Story,Before relationship plant be.,Medium,2026-07-02 22:49:22,2026-07-08 22:49:22,DONE,SPR-PRJ-7-16,2
TERM-4559,PRJ-7,USR-83792,Story,Risk window partner civil nearly analysis.,Low,2026-06-28 15:24:16,2026-07-10 15:24:16,DONE,SPR-PRJ-4-2,3
THES-5065,PRJ-1,USR-99838,Bug,Not process change than condition Republican.,Medium,2025-12-02 07:50:55,2025-12-15 07:50:55,DONE,SPR-PRJ-7-8,1
CONF-9348,PRJ-9,USR-35995,Bug,Finally shoulder land phone brother.,High,2026-03-08 21:52:12,2026-03-21 21:52:12,DONE,SPR-PRJ-9-13,2
TERM-2163,PRJ-7,USR-54597,Task,About she activity marriage material.,Medium,2025-11-17 01:24:58,2025-11-20 01:24:58,DONE,SPR-PRJ-4-3,8
ANIM-8717,PRJ-2,USR-57576,Story,Part management describe.,Low,2026-08-06 13:06:26,2026-08-08 13:06:26,DONE,SPR-PRJ-0-3,3
LIST-5693,PRJ-8,USR-47601,Task,Law kind over according think everything pick.,Medium,2026-06-10 01:47:49,2026-06-22 01:47:49,DONE,SPR-PRJ-4-6,1
ANIM-5546,PRJ-2,USR-27224,Story,Any challenge president already take.,High,2026-08-11 11:10:14,2026-08-20 11:10:14,DONE,SPR-PRJ-3-11,5
CHOI-8167,PRJ-4,USR-83259,Story,Study fear turn any indicate condition public.,High,2026-06-12 23:56:37,2026-06-14 23:56:37,DONE,SPR-PRJ-9-20,5
DEVE-6067,PRJ-0,USR-68841,Story,Occur no whom see growth along shoulder follow.,High,2026-05-22 06:51:16,2026-05-23 06:51:16,DONE,SPR-PRJ-7-13,2
WIN-9568,PRJ-5,USR-99838,Task,Star serve successful assume likely business.,High,2026-09-10 12:40:08,2026-09-16 12:40:08,DONE,SPR-PRJ-1-8,3
ORGA-5456,PRJ-6,USR-53694,Bug,Forget including decide decade around.,Low,2026-08-26 17:20:52,2026-08-28 17:20:52,DONE,SPR-PRJ-5-7,5
CONF-3734,PRJ-9,USR-29597,Story,More because right painting small religious interview summer.,Low,2026-05-06 20:36:44,2026-05-17 20:36:44,DONE,SPR-PRJ-7-17,1
DEVE-5006,PRJ-0,USR-28643,Story,Offer perhaps until pass market role marriage.,High,2026-01-05 19:17:32,2026-01-19 19:17:32,DONE,SPR-PRJ-0-9,8
ORGA-6241,PRJ-6,USR-12068,Task,This discussion fact cover.,High,2026-08-06 18:00:29,2026-08-15 18:00:29,DONE,SPR-PRJ-7-4,1
ORGA-2129,PRJ-6,USR-18993,Task,Let someone scene.,Medium,2025-11-11 20:51:20,2025-11-13 20:51:20,DONE,SPR-PRJ-5-21,5
CONF-5979,PRJ-9,USR-51505,Task,Yourself increase free night point action cut example.,Low,2025-12-16 11:32:55,2025-12-24 11:32:55,DONE,SPR-PRJ-8-5,2
DEVE-7718,PRJ-0,USR-80010,Bug,Film media food accept.,Low,2026-07-30 20:14:28,2026-07-31 20:14:28,DONE,SPR-PRJ-3-13,1
LIST-4902,PRJ-8,USR-94012,Story,Game right pattern ahead compare form.,Low,2026-06-20 07:32:17,2026-06-25 07:32:17,DONE,SPR-PRJ-0-23,1
WIN-8511,PRJ-5,USR-70036,Story,Trouble something population loss physical throughout Mr.,Low,2026-02-05 04:53:06,2026-02-08 04:53:06,DONE,SPR-PRJ-6-19,5
ORGA-3141,PRJ-6,USR-27790,Task,Six including sea strong federal right firm.,Medium,2026-02-04 02:32:01,2026-02-16 02:32:01,DONE,SPR-PRJ-8-20,3
THES-4321,PRJ-1,USR-74260,Story,Decade rate son.,High,2026-04-23 01:53:59,2026-04-25 01:53:59,DONE,SPR-PRJ-1-18,5
PROF-8404,PRJ-3,USR-69250,Story,At chance subject fund heart move.,High,2026-09-06 20:07:11,2026-09-09 20:07:11,DONE,SPR-PRJ-8-14,3
PROF-6370,PRJ-3,USR-20155,Task,Paper cost bring site final tax report.,Medium,2025-11-30 10:01:58,2025-12-09 10:01:58,DONE,SPR-PRJ-0-12,3
LIST-5093,PRJ-8,USR-36144,Story,Beautiful theory he stop few modern.,High,2026-01-10 09:37:28,2026-01-11 09:37:28,DONE,SPR-PRJ-0-15,2
THES-5240,PRJ-1,USR-57400,Story,Hear also dark begin.,High,2025-12-03 22:19:20,2025-12-14 22:19:20,DONE,SPR-PRJ-4-17,2
TERM-1829,PRJ-7,USR-28958,Bug,Sometimes toward child.,Medium,2026-04-11 11:17:51,2026-04-19 11:17:51,DONE,SPR-PRJ-0-7,5
PROF-4066,PRJ-3,USR-45972,Story,Run model simply century the state visit.,High,2026-02-06 01:11:42,2026-02-16 01:11:42,DONE,SPR-PRJ-6-14,8
ORGA-8848,PRJ-6,USR-28643,Story,Day already hold ten.,Medium,2026-06-16 18:32:51,2026-06-20 18:32:51,DONE,SPR-PRJ-6-20,8
TERM-9921,PRJ-7,USR-60351,Bug,Financial analysis summer.,Low,2025-11-10 22:45:17,2025-11-16 22:45:17,DONE,SPR-PRJ-4-3,3
PROF-1480,PRJ-3,USR-80702,Story,Four threat billion she.,Medium,2026-08-31 13:33:00,2026-09-09 13:33:00,DONE,SPR-PRJ-3-19,8
PROF-5366,PRJ-3,USR-75308,Bug,Against serve police decide customer.,High,2026-07-13 12:09:32,2026-07-26 12:09:32,DONE,SPR-PRJ-2-8,8
PROF-6210,PRJ-3,USR-29555,Bug,Mother significant provide evening church.,High,2026-01-16 06:05:12,2026-01-28 06:05:12,DONE,SPR-PRJ-7-11,3
PROF-9064,PRJ-3,USR-65615,Story,When nice bill.,High,2025-11-10 09:56:00,2025-11-11 09:56:00,DONE,SPR-PRJ-2-11,8
DEVE-6435,PRJ-0,USR-77552,Story,Near even wall sound off commercial.,Medium,2026-04-25 15:49:09,2026-05-07 15:49:09,DONE,SPR-PRJ-1-21,3
ANIM-2817,PRJ-2,USR-68028,Story,Throughout music anything ahead tough anyone himself beat.,Medium,2026-01-25 21:20:04,2026-02-06 21:20:04,DONE,SPR-PRJ-7-1,5
WIN-3235,PRJ-5,USR-29521,Task,Relate through picture real.,Low,2026-02-26 04:00:51,2026-03-06 04:00:51,DONE,SPR-PRJ-6-22,3
CONF-6846,PRJ-9,USR-34486,Story,Green forward cup serve speak bad type share.,Medium,2026-03-19 02:34:49,2026-03-24 02:34:49,DONE,SPR-PRJ-7-19,3
CONF-7415,PRJ-9,USR-83783,Bug,Behavior sort recognize best.,High,2026-05-05 11:15:54,2026-05-08 11:15:54,DONE,SPR-PRJ-6-10,3
THES-9129,PRJ-1,USR-79822,Story,Like water century time election guy contain.,Medium,2026-01-25 12:08:43,2026-01-31 12:08:43,DONE,SPR-PRJ-1-18,1
DEVE-5345,PRJ-0,USR-30032,Task,Small think law air little goal.,Medium,2026-09-18 04:36:33,2026-10-01 04:36:33,DONE,SPR-PRJ-1-3,1
ORGA-3725,PRJ-6,USR-20336,Task,Executive give offer meet.,Medium,2026-03-25 02:10:09,2026-04-03 02:10:09,DONE,SPR-PRJ-4-0,1
PROF-3664,PRJ-3,USR-83619,Story,For power society mouth.,Medium,2026-03-03 12:21:09,2026-03-04 12:21:09,DONE,SPR-PRJ-3-9,3
ORGA-3636,PRJ-6,USR-15938,Story,Including per nature wind himself future sport opportunity.,Medium,2026-03-01 14:57:56,2026-03-11 14:57:56,DONE,SPR-PRJ-6-13,5
ANIM-8113,PRJ-2,USR-50135,Story,Note garden reason community prove school.,High,2026-07-28 13:25:16,2026-08-04 13:25:16,DONE,SPR-PRJ-7-10,8
CHOI-5872,PRJ-4,USR-13390,Bug,Student boy other foot best knowledge final.,Low,2026-06-30 10:33:23,2026-07-14 10:33:23,DONE,SPR-PRJ-5-5,2
THES-5825,PRJ-1,USR-22463,Task,Our rate others star.,High,2026-03-03 13:21:24,2026-03-05 13:21:24,DONE,SPR-PRJ-0-6,2
TERM-2892,PRJ-7,USR-23173,Task,Population article design catch oil sense special.,Low,2026-02-01 02:45:04,2026-02-06 02:45:04,DONE,SPR-PRJ-0-23,8
WIN-4056,PRJ-5,USR-49132,Task,Produce laugh factor past.,Medium,2026-07-17 23:33:39,2026-07-21 23:33:39,DONE,SPR-PRJ-8-22,3
THES-2404,PRJ-1,USR-27781,Task,Day theory feel some quickly.,Low,2026-03-19 14:54:59,2026-03-23 14:54:59,DONE,SPR-PRJ-5-21,1
TERM-4860,PRJ-7,USR-85392,Bug,Response trip wrong old particularly member.,High,2026-09-18 16:08:27,2026-09-27 16:08:27,DONE,SPR-PRJ-6-2,8
THES-8357,PRJ-1,USR-29410,Story,System artist too whose.,High,2026-08-22 03:37:56,2026-08-25 03:37:56,DONE,SPR-PRJ-0-10,5
ANIM-5225,PRJ-2,USR-30932,Story,Star grow technology tend dog reduce hour.,High,2025-09-27 06:56:43,2025-10-04 06:56:43,DONE,SPR-PRJ-5-22,5
TERM-1202,PRJ-7,USR-29442,Bug,Image itself deep community cause new.,Medium,2026-01-28 12:14:48,2026-01-30 12:14:48,DONE,SPR-PRJ-4-10,2
THES-2730,PRJ-1,USR-34551,Task,Style child young prove care author.,Low,2026-08-20 11:28:07,2026-08-26 11:28:07,DONE,SPR-PRJ-9-8,5
CONF-8750,PRJ-9,USR-74451,Story,Return main join wrong.,Low,2025-10-03 01:29:33,2025-10-13 01:29:33,DONE,SPR-PRJ-7-6,5
TERM-5400,PRJ-7,USR-35242,Task,Politics indeed lay smile.,Medium,2025-10-29 20:12:20,2025-11-03 20:12:20,DONE,SPR-PRJ-8-23,5
ANIM-5923,PRJ-2,USR-89807,Task,Perhaps lawyer interest star his difficult.,Medium,2026-05-19 16:46:35,2026-05-31 16:46:35,DONE,SPR-PRJ-4-10,8
PROF-7671,PRJ-3,USR-45720,Task,Account marriage room Republican especially unit office almost.,High,2026-03-10 22:14:45,2026-03-19 22:14:45,DONE,SPR-PRJ-8-10,2
ORGA-3222,PRJ-6,USR-39552,Bug,Low happy oil which bag room money.,High,2025-10-11 16:00:46,2025-10-14 16:00:46,DONE,SPR-PRJ-2-1,2
DEVE-6904,PRJ-0,USR-23006,Task,Let back three because line.,Low,2026-08-26 16:48:50,2026-09-02 16:48:50,DONE,SPR-PRJ-6-18,1
TERM-8308,PRJ-7,USR-17355,Bug,Range much often party.,Low,2026-07-12 00:06:03,2026-07-18 00:06:03,DONE,SPR-PRJ-3-16,2
DEVE-7333,PRJ-0,USR-12068,Story,Movement action law town off former.,High,2026-09-12 21:06:37,2026-09-23 21:06:37,DONE,SPR-PRJ-2-9,2
DEVE-8767,PRJ-0,USR-63264,Bug,Eye along type see risk.,High,2026-02-11 00:29:13,2026-02-15 00:29:13,DONE,SPR-PRJ-2-16,8
CHOI-7943,PRJ-4,USR-26551,Task,Article list college appear wrong.,Medium,2026-05-03 21:12:30,2026-05-07 21:12:30,DONE,SPR-PRJ-4-23,3
CONF-2676,PRJ-9,USR-49294,Task,Agree machine camera baby six edge past every.,Low,2026-08-07 02:32:25,2026-08-18 02:32:25,DONE,SPR-PRJ-6-8,8
WIN-5529,PRJ-5,USR-69598,Task,Scientist page travel.,Low,2026-01-04 18:05:10,2026-01-16 18:05:10,DONE,SPR-PRJ-9-12,3
DEVE-7620,PRJ-0,USR-83792,Bug,Process have compare site.,High,2026-07-10 22:45:32,2026-07-21 22:45:32,DONE,SPR-PRJ-5-7,3
DEVE-4111,PRJ-0,USR-92960,Bug,Congress month almost worker whose other start.,Low,2025-12-27 16:35:25,2026-01-07 16:35:25,DONE,SPR-PRJ-8-8,5
ANIM-3967,PRJ-2,USR-18907,Bug,Sell include himself produce rise cold official.,Medium,2026-08-18 06:12:56,2026-08-30 06:12:56,DONE,SPR-PRJ-8-14,8
THES-4641,PRJ-1,USR-68979,Task,Approach enough standard apply less live.,Medium,2026-08-19 21:32:16,2026-09-01 21:32:16,DONE,SPR-PRJ-9-11,3
TERM-2929,PRJ-7,USR-84395,Bug,Do raise hope enjoy most itself eye.,Low,2026-03-30 22:12:30,2026-04-09 22:12:30,DONE,SPR-PRJ-0-18,5
ORGA-9680,PRJ-6,USR-51553,Story,High firm morning what best most government.,High,2026-08-02 14:32:39,2026-08-06 14:32:39,DONE,SPR-PRJ-3-15,5
ANIM-2324,PRJ-2,USR-72973,Story,Particular present evening establish sort effort.,Medium,2026-08-20 19:57:56,2026-08-31 19:57:56,DONE,SPR-PRJ-0-14,1
CONF-3595,PRJ-9,USR-75513,Story,Leave push drop public side mind.,High,2026-05-11 20:00:28,2026-05-21 20:00:28,DONE,SPR-PRJ-4-15,5
DEVE-1618,PRJ-0,USR-10350,Story,Finish action across attack.,Medium,2026-06-17 03:52:34,2026-06-30 03:52:34,DONE,SPR-PRJ-8-21,8
PROF-4707,PRJ-3,USR-87656,Story,Moment rate goal rise.,High,2026-03-05 16:12:05,2026-03-12 16:12:05,DONE,SPR-PRJ-5-8,8
CHOI-5764,PRJ-4,USR-82264,Bug,Alone people arm order thus.,Medium,2026-01-02 18:55:37,2026-01-09 18:55:37,DONE,SPR-PRJ-9-11,2
