sprint_id,project_id,sprint_name,start_date,end_date
SPR-PRJ-2-7,PRJ-2,Sprint 7,2026-04-29,2026-10-02
SPR-PRJ-2-8,PRJ-2,Sprint 8,2026-01-02,2026-09-28
SPR-PRJ-2-9,PRJ-2,Sprint 9,2026-05-08,2026-09-29
SPR-PRJ-2-10,PRJ-2,Sprint 10,2026-07-23,2026-09-30
SPR-PRJ-2-11,PRJ-2,Sprint 11,2026-07-08,2026-09-24
SPR-PRJ-2-12,PRJ-2,Sprint 12,2026-08-24,2026-09-23
SPR-PRJ-2-13,PRJ-2,Sprint 13,2026-07-13,2026-09-26
SPR-PRJ-2-14,PRJ-2,Sprint 14,2026-03-18,2026-09-24
SPR-PRJ-2-15,PRJ-2,Sprint 15,2025-11-03,2026-09-26
SPR-PRJ-2-16,PRJ-2,Sprint 16,2026-04-11,2026-09-30
SPR-PRJ-2-17,PRJ-2,Sprint 17,2026-07-28,2026-09-29
SPR-PRJ-2-18,PRJ-2,Sprint 18,2026-08-03,2026-10-04
SPR-PRJ-2-19,PRJ-2,Sprint 19,2026-05-22,2026-09-22
SPR-PRJ-2-20,PRJ-2,Sprint 20,2025-11-27,2026-09-30
SPR-PRJ-2-21,PRJ-2,Sprint 21,2026-05-30,2026-09-21
SPR-PRJ-2-22,PRJ-2,Sprint 22,2026-08-04,2026-09-23
SPR-PRJ-2-23,PRJ-2,Sprint 23,2026-08-11,2026-09-24
SPR-PRJ-3-0,PRJ-3,Sprint 0,2026-03-28,2026-10-01
SPR-PRJ-3-1,PRJ-3,Sprint 1,2025-10-30,2026-09-22
SPR-PRJ-3-2,PRJ-3,Sprint 2,2026-01-06,2026-09-26
SPR-PRJ-3-3,PRJ-3,Sprint 3,2026-02-17,2026-09-22
SPR-PRJ-3-4,PRJ-3,Sprint 4,2026-05-20,2026-09-21
SPR-PRJ-3-5,PRJ-3,Sprint 5,2026-07-04,2026-09-30
SPR-PRJ-3-6,PRJ-3,Sprint 6,2026-02-28,2026-10-03
SPR-PRJ-3-7,PRJ-3,Sprint 7,2026-01-15,2026-09-22
SPR-PRJ-3-8,PRJ-3,Sprint 8,2026-07-23,2026-09-25
SPR-PRJ-3-9,PRJ-3,Sprint 9,2026-06-01,2026-10-02
SPR-PRJ-3-10,PRJ-3,Sprint 10,2026-03-15,2026-09-21
SPR-PRJ-3-11,PRJ-3,Sprint 11,2025-12-13,2026-10-03
SPR-PRJ-3-12,PRJ-3,Sprint 12,2026-01-15,2026-09-25
SPR-PRJ-3-13,PRJ-3,Sprint 13,2025-10-09,2026-10-03
SPR-PRJ-3-14,PRJ-3,Sprint 14,2026-04-14,2026-09-26
SPR-PRJ-3-15,PRJ-3,Sprint 15,2026-05-22,2026-09-25
SPR-PRJ-3-16,PRJ-3,Sprint 16,2026-06-14,2026-09-21
SPR-PRJ-3-17,PRJ-3,Sprint 17,2026-02-12,2026-09-26
SPR-PRJ-3-18,PRJ-3,Sprint 18,2026-06-07,2026-09-21
SPR-PRJ-3-19,PRJ-3,Sprint 19,2025-11-26,2026-09-23
SPR-PRJ-3-20,PRJ-3,Sprint 20,2026-01-11,2026-09-30
SPR-PRJ-3-21,PRJ-3,Sprint 21,2026-02-10,2026-09-30
SPR-PRJ-3-22,PRJ-3,Sprint 22,2026-03-02,2026-09-25
SPR-PRJ-3-23,PRJ-3,Sprint 23,2026-04-15,2026-09-21
SPR-PRJ-4-0,PRJ-4,Sprint 0,2026-07-09,2026-09-22
SPR-PRJ-4-1,PRJ-4,Sprint 1,2026-09-17,2026-09-23
SPR-PRJ-4-2,PRJ-4,Sprint 2,2026-04-27,2026-09-27
SPR-PRJ-4-3,PRJ-4,Sprint 3,2026-07-05,2026-10-04
SPR-PRJ-4-4,PRJ-4,Sprint 4,2026-09-16,2026-09-29
SPR-PRJ-4-5,PRJ-4,Sprint 5,2026-02-07,2026-09-27
SPR-PRJ-4-6,PRJ-4,Sprint 6,2025-12-22,2026-09-25
SPR-PRJ-4-7,PRJ-4,Sprint 7,2026-03-21,2026-09-30
SPR-PRJ-4-8,PRJ-4,Sprint 8,2026-05-07,2026-09-21
SPR-PRJ-4-9,PRJ-4,Sprint 9,2026-01-05,2026-09-25
SPR-PRJ-4-10,PRJ-4,Sprint 10,2026-03-03,2026-10-03
SPR-PRJ-4-11,PRJ-4,Sprint 11,2025-11-06,2026-10-04
SPR-PRJ-4-12,PRJ-4,Sprint 12,2025-10-24,2026-10-03
SPR-PRJ-4-13,PRJ-4,Sprint 13,2026-01-18,2026-09-29
SPR-PRJ-4-14,PRJ-4,Sprint 14,2025-11-10,2026-10-03
SPR-PRJ-4-15,PRJ-4,Sprint 15,2026-01-04,2026-10-04
SPR-PRJ-4-16,PRJ-4,Sprint 16,2026-08-07,2026-10-04
SPR-PRJ-4-17,PRJ-4,Sprint 17,2026-01-01,2026-10-01
SPR-PRJ-4-18,PRJ-4,Sprint 18,2026-02-19,2026-10-04
SPR-PRJ-4-19,PRJ-4,Sprint 19,2026-04-01,2026-09-26
SPR-PRJ-4-20,PRJ-4,Sprint 20,2026-07-17,2026-09-29
SPR-PRJ-4-21,PRJ-4,Sprint 21,2026-07-24,2026-10-02
SPR-PRJ-4-22,PRJ-4,Sprint 22,2026-06-17,2026-10-02
SPR-PRJ-4-23,PRJ-4,Sprint 23,2026-09-09,2026-09-21
SPR-PRJ-5-0,PRJ-5,Sprint 0,2026-04-01,2026-09-23
SPR-PRJ-5-1,PRJ-5,Sprint 1,2026-01-04,2026-09-22
SPR-PRJ-5-2,PRJ-5,Sprint 2,2026-02-21,2026-09-26
SPR-PRJ-5-3,PRJ-5,Sprint 3,2026-06-15,2026-09-26
SPR-PRJ-5-4,PRJ-5,Sprint 4,2026-08-02,2026-09-28
SPR-PRJ-5-5,PRJ-5,Sprint 5,2026-03-05,2026-09-29
SPR-PRJ-5-6,PRJ-5,Sprint 6,2026-04-14,2026-10-04
SPR-PRJ-5-7,PRJ-5,Sprint 7,2025-09-29,2026-09-27
SPR-PRJ-5-8,PRJ-5,Sprint 8,2025-12-31,2026-09-27
SPR-PRJ-5-9,PRJ-5,Sprint 9,2025-11-01,2026-09-30
SPR-PRJ-5-10,PRJ-5,Sprint 10,2026-06-14,2026-09-29
SPR-PRJ-5-11,PRJ-5,Sprint 11,2025-10-25,2026-10-04
SPR-PRJ-5-12,PRJ-5,Sprint 12,2025-12-04,2026-10-02
SPR-PRJ-5-13,PRJ-5,Sprint 13,2026-01-25,2026-09-29
SPR-PRJ-5-14,PRJ-5,Sprint 14,2025-12-19,2026-10-04
SPR-PRJ-5-15,PRJ-5,Sprint 15,2026-01-08,2026-09-25
SPR-PRJ-5-16,PRJ-5,Sprint 16,2026-07-12,2026-09-25
SPR-PRJ-5-17,PRJ-5,Sprint 17,2026-04-07,2026-09-25
SPR-PRJ-5-18,PRJ-5,Sprint 18,2025-12-26,2026-09-26
SPR-PRJ-5-19,PRJ-5,Sprint 19,2026-08-30,2026-09-27
SPR-PRJ-5-20,PRJ-5,Sprint 20,2025-12-15,2026-09-26
SPR-PRJ-5-21,PRJ-5,Sprint 21,2025-12-13,2026-09-27
SPR-PRJ-5-22,PRJ-5,Sprint 22,2026-08-16,2026-09-29
SPR-PRJ-5-23,PRJ-5,Sprint 23,2025-11-25,2026-09-23
SPR-PRJ-6-0,PRJ-6,Sprint 0,2025-11-11,2026-09-22
SPR-PRJ-6-1,PRJ-6,Sprint 1,2026-06-15,2026-10-02
SPR-PRJ-6-2,PRJ-6,Sprint 2,2026-05-22,2026-09-21
SPR-PRJ-6-3,PRJ-6,Sprint 3,2026-07-19,2026-10-04
SPR-PRJ-6-4,PRJ-6,Sprint 4,2025-10-12,2026-10-02
SPR-PRJ-6-5,PRJ-6,Sprint 5,2026-02-17,2026-09-28
SPR-PRJ-6-6,PRJ-6,Sprint 6,2026-04-05,2026-10-04
SPR-PRJ-6-7,PRJ-6,Sprint 7,2026-08-29,2026-09-27
SPR-PRJ-6-8,PRJ-6,Sprint 8,2026-04-04,2026-09-25
SPR-PRJ-6-9,PRJ-6,Sprint 9,2026-07-19,2026-10-03
SPR-PRJ-6-10,PRJ-6,Sprint 10,2026-01-12,2026-09-30
SPR-PRJ-6-11,PRJ-6,Sprint 11,2025-12-21,2026-10-04
SPR-PRJ-6-12,PRJ-6,Sprint 12,2025-11-14,2026-09-22
SPR-PRJ-6-13,PRJ-6,Sprint 13,2026-04-18,2026-10-01
SPR-PRJ-6-14,PRJ-6,Sprint 14,2026-03-30,2026-10-04
SPR-PRJ-6-15,PRJ-6,Sprint 15,2025-10-08,2026-10-03
SPR-PRJ-6-16,PRJ-6,Sprint 16,2026-02-07,2026-09-30
SPR-PRJ-6-17,PRJ-6,Sprint 17,2026-08-26,2026-09-25
SPR-PRJ-6-18,PRJ-6,Sprint 18,2026-03-22,2026-09-23
SPR-PRJ-6-19,PRJ-6,Sprint 19,2026-06-24,2026-10-03
SPR-PRJ-6-20,PRJ-6,Sprint 20,2026-03-23,2026-09-28
SPR-PRJ-6-21,PRJ-6,Sprint 21,2026-06-20,2026-09-21
SPR-PRJ-6-22,PRJ-6,Sprint 22,2025-09-30,2026-09-26
SPR-PRJ-6-23,PRJ-6,Sprint 23,2026-02-20,2026-09-23
SPR-PRJ-7-0,PRJ-7,Sprint 0,2026-01-30,2026-09-29
SPR-PRJ-7-1,PRJ-7,Sprint 1,2026-05-21,2026-09-27
SPR-PRJ-7-2,PRJ-7,Sprint 2,2025-12-07,2026-10-04
SPR-PRJ-7-3,PRJ-7,Sprint 3,2026-01-06,2026-09-26
SPR-PRJ-7-4,PRJ-7,Sprint 4,2026-01-08,2026-10-02
SPR-PRJ-7-5,PRJ-7,Sprint 5,2026-05-22,2026-09-29
SPR-PRJ-7-6,PRJ-7,Sprint 6,2026-02-15,2026-09-25
SPR-PRJ-7-7,PRJ-7,Sprint 7,2026-04-07,2026-10-01
SPR-PRJ-7-8,PRJ-7,Sprint 8,2025-12-16,2026-10-01
SPR-PRJ-7-9,PRJ-7,Sprint 9,2026-06-25,2026-09-30
SPR-PRJ-7-10,PRJ-7,Sprint 10,2026-02-14,2026-09-30
SPR-PRJ-7-11,PRJ-7,Sprint 11,2026-01-12,2026-10-01
SPR-PRJ-7-12,PRJ-7,Sprint 12,2025-12-04,2026-10-04
SPR-PRJ-7-13,PRJ-7,Sprint 13,2025-11-15,2026-10-04
SPR-PRJ-7-14,PRJ-7,Sprint 14,2026-06-19,2026-09-26
SPR-PRJ-7-15,PRJ-7,Sprint 15,2026-08-08,2026-09-23
SPR-PRJ-7-16,PRJ-7,Sprint 16,2026-07-02,2026-09-27
SPR-PRJ-7-17,PRJ-7,Sprint 17,2026-08-04,2026-09-26
SPR-PRJ-7-18,PRJ-7,Sprint 18,2026-04-29,2026-10-01
SPR-PRJ-7-19,PRJ-7,Sprint 19,2026-08-24,2026-09-30
SPR-PRJ-7-20,PRJ-7,Sprint 20,2025-12-11,2026-09-24
SPR-PRJ-7-21,PRJ-7,Sprint 21,2026-08-02,2026-09-24
SPR-PRJ-7-22,PRJ-7,Sprint 22,2026-03-28,2026-09-21
SPR-PRJ-7-23,PRJ-7,Sprint 23,2025-12-03,2026-10-01
SPR-PRJ-8-0,PRJ-8,Sprint 0,2026-04-08,2026-09-24
SPR-PRJ-8-1,PRJ-8,Sprint 1,2026-09-07,2026-10-03
SPR-PRJ-8-2,PRJ-8,Sprint 2,2026-04-21,2026-09-28
SPR-PRJ-8-3,PRJ-8,Sprint 3,2026-07-27,2026-10-02
SPR-PRJ-8-4,PRJ-8,Sprint 4,2026-01-20,2026-09-27
SPR-PRJ-8-5,PRJ-8,Sprint 5,2026-05-02,2026-10-04
SPR-PRJ-8-6,PRJ-8,Sprint 6,2025-10-14,2026-09-30
SPR-PRJ-8-7,PRJ-8,Sprint 7,2025-11-03,2026-09-24
SPR-PRJ-8-8,PRJ-8,Sprint 8,2025-10-19,2026-09-26
SPR-PRJ-8-9,PRJ-8,Sprint 9,2026-08-08,2026-09-27
SPR-PRJ-8-10,PRJ-8,Sprint 10,2026-03-30,2026-09-23
SPR-PRJ-8-11,PRJ-8,Sprint 11,2026-03-19,2026-09-29
SPR-PRJ-8-12,PRJ-8,Sprint 12,2026-01-04,2026-09-29
SPR-PRJ-8-13,PRJ-8,Sprint 13,2026-02-12,2026-10-04
SPR-PRJ-8-14,PRJ-8,Sprint 14,2026-04-30,2026-09-27
SPR-PRJ-8-15,PRJ-8,Sprint 15,2026-02-06,2026-09-21
SPR-PRJ-8-16,PRJ-8,Sprint 16,2026-03-04,2026-09-23
SPR-PRJ-8-17,PRJ-8,Sprint 17,2026-02-09,2026-09-25
SPR-PRJ-8-18,PRJ-8,Sprint 18,2026-05-08,2026-10-04
SPR-PRJ-8-19,PRJ-8,Sprint 19,2026-06-05,2026-10-04
SPR-PRJ-8-20,PRJ-8,Sprint 20,2025-12-02,2026-09-27
SPR-PRJ-8-21,PRJ-8,Sprint 21,2026-02-10,2026-09-28
SPR-PRJ-8-22,PRJ-8,Sprint 22,2026-06-14,2026-10-03
SPR-PRJ-8-23,PRJ-8,Sprint 23,2026-04-03,2026-10-01
SPR-PRJ-9-0,PRJ-9,Sprint 0,2026-09-06,2026-09-22
SPR-PRJ-9-1,PRJ-9,Sprint 1,2026-02-20,2026-09-27
SPR-PRJ-9-2,PRJ-9,Sprint 2,2026-03-25,2026-09-24
SPR-PRJ-9-3,PRJ-9,Sprint 3,2026-08-29,2026-09-25
SPR-PRJ-9-4,PRJ-9,Sprint 4,2026-06-01,2026-09-29
SPR-PRJ-9-5,PRJ-9,Sprint 5,2026-03-08,2026-10-04
SPR-PRJ-9-6,PRJ-9,Sprint 6,2026-03-02,2026-09-22
SPR-PRJ-9-7,PRJ-9,Sprint 7,2025-10-26,2026-09-24
SPR-PRJ-9-8,PRJ-9,Sprint 8,2026-02-06,2026-09-26
SPR-PRJ-9-9,PRJ-9,Sprint 9,2026-01-25,2026-09-28
SPR-PRJ-9-10,PRJ-9,Sprint 10,2026-06-06,2026-09-28
SPR-PRJ-9-11,PRJ-9,Sprint 11,2026-06-28,2026-09-27
SPR-PRJ-9-12,PRJ-9,Sprint 12,2026-05-19,2026-09-30
SPR-PRJ-9-13,PRJ-9,Sprint 13,2026-01-09,2026-10-01
SPR-PRJ-9-14,PRJ-9,Sprint 14,2026-07-26,2026-09-29
SPR-PRJ-9-15,PRJ-9,Sprint 15,2026-07-13,2026-10-03
SPR-PRJ-9-16,PRJ-9,Sprint 16,2026-03-19,2026-10-01
SPR-PRJ-9-17,PRJ-9,Sprint 17,2025-11-29,2026-09-25
SPR-PRJ-9-18,PRJ-9,Sprint 18,2026-08-23,2026-09-21
SPR-PRJ-9-19,PRJ-9,Sprint 19,2025-11-13,2026-09-26
SPR-PRJ-9-20,PRJ-9,Sprint 20,2026-06-10,2026-09-27
SPR-PRJ-9-21,PRJ-9,Sprint 21,2026-07-11,2026-09-22
SPR-PRJ-9-22,PRJ-9,Sprint 22,2025-12-16,2026-09-25
SPR-PRJ-9-23,PRJ-9,Sprint 23,2026-02-27,2026-09-23
