incident_id,change_id,relationship_type
INC255539,CHG587192,CAUSED_BY
INC864915,CHG152062,CAUSED_BY
INC172827,CHG786587,CAUSED_BY
INC549449,CHG341288,CAUSED_BY
INC257517,CHG774661,CAUSED_BY
INC244935,CHG600318,CAUSED_BY
INC599988,CHG940181,CAUSED_BY
INC726116,CHG501936,CAUSED_BY
INC150382,CHG246570,CAUSED_BY
INC473973,CHG460589,CAUSED_BY
INC836789,CHG301224,CAUSED_BY
INC626570,CHG930541,CAUSED_BY
INC694438,CHG646428,CAUSED_BY
INC815711,CHG139434,CAUSED_BY
INC140141,CHG174852,CAUSED_BY
INC375568,CHG903013,CAUSED_BY
INC626474,CHG588640,CAUSED_BY
INC549192,CHG137812,CAUSED_BY
INC193992,CHG787247,CAUSED_BY
INC532993,CHG221263,CAUSED_BY
INC632216,CHG631219,CAUSED_BY
INC979214,CHG493663,CAUSED_BY
INC928909,CHG918910,CAUSED_BY
INC940257,CHG754280,CAUSED_BY
INC762113,CHG515287,CAUSED_BY
INC861593,CHG951452,CAUSED_BY
INC661988,CHG630573,CAUSED_BY
INC482615,CHG632342,CAUSED_BY
INC541699,CHG943349,CAUSED_BY
INC172827,CHG993251,CAUSED_BY
INC747995,CHG917411,CAUSED_BY
INC800695,CHG727320,CAUSED_BY
INC793390,CHG132316,CAUSED_BY
INC470157,CHG621718,CAUSED_BY
INC583345,CHG722503,CAUSED_BY
INC322367,CHG699166,CAUSED_BY
INC151521,CHG960778,CAUSED_BY
INC330246,CHG403578,CAUSED_BY
INC694822,CHG330074,CAUSED_BY
INC795634,CHG962276,CAUSED_BY
INC155777,CHG747033,CAUSED_BY
INC469366,CHG612643,CAUSED_BY
INC494228,CHG265613,CAUSED_BY
INC708512,CHG433299,CAUSED_BY
INC603805,CHG805477,CAUSED_BY
INC397189,CHG386042,CAUSED_BY
INC704020,CHG475075,CAUSED_BY
INC201229,CHG309902,CAUSED_BY
INC239687,CHG516444,CAUSED_BY
INC698076,CHG310608,CAUSED_BY
INC748696,CHG287555,CAUSED_BY
INC314154,CHG835716,CAUSED_BY
INC303052,CHG110060,CAUSED_BY
INC618970,CHG469007,CAUSED_BY
INC976950,CHG337264,CAUSED_BY
INC457506,CHG150947,CAUSED_BY
INC499812,CHG332823,CAUSED_BY
INC747966,CHG401610,CAUSED_BY
INC783648,CHG711680,CAUSED_BY
INC899656,CHG364525,CAUSED_BY
INC444650,CHG409727,CAUSED_BY
INC696998,CHG665427,CAUSED_BY
INC185465,CHG560959,CAUSED_BY
INC846568,CHG197573,CAUSED_BY
INC108161,CHG354533,CAUSED_BY
INC806056,CHG763311,CAUSED_BY
INC743173,CHG508654,CAUSED_BY
INC464462,CHG139589,CAUSED_BY
INC137827,CHG550089,CAUSED_BY
INC958045,CHG249289,CAUSED_BY
INC387361,CHG989227,CAUSED_BY
INC550399,CHG450905,CAUSED_BY
INC606828,CHG460589,CAUSED_BY
INC546380,CHG364525,CAUSED_BY
INC426988,CHG807160,CAUSED_BY
INC960623,CHG678478,CAUSED_BY
INC721427,CHG784167,CAUSED_BY
INC703618,CHG683347,CAUSED_BY
INC243628,CHG241003,CAUSED_BY
INC324164,CHG636435,CAUSED_BY
INC492383,CHG960307,CAUSED_BY
INC202210,CHG398313,CAUSED_BY
INC641422,CHG321449,CAUSED_BY
INC336936,CHG807160,CAUSED_BY
INC909889,CHG903013,CAUSED_BY
INC779352,CHG426147,CAUSED_BY
INC270651,CHG572398,CAUSED_BY
INC271993,CHG241003,CAUSED_BY
INC695578,CHG786587,CAUSED_BY
INC293560,CHG160718,CAUSED_BY
INC859309,CHG600318,CAUSED_BY
INC332463,CHG578344,CAUSED_BY
INC517559,CHG792282,CAUSED_BY
INC918941,CHG610511,CAUSED_BY
INC862091,CHG522548,CAUSED_BY
INC520205,CHG550089,CAUSED_BY
INC977504,CHG588557,CAUSED_BY
INC332074,CHG600318,CAUSED_BY
INC765607,CHG485397,CAUSED_BY
INC463191,CHG989227,CAUSED_BY
INC328909,CHG688508,CAUSED_BY
INC907927,CHG707090,CAUSED_BY
INC658540,CHG246570,CAUSED_BY
INC501975,CHG585556,CAUSED_BY
INC705659,CHG838237,CAUSED_BY
INC504032,CHG296412,CAUSED_BY
INC695833,CHG834861,CAUSED_BY
INC650750,CHG681866,CAUSED_BY
INC368511,CHG538184,CAUSED_BY
INC678788,CHG787836,CAUSED_BY
INC599159,CHG352356,CAUSED_BY
INC854955,CHG332823,CAUSED_BY
INC564727,CHG742865,CAUSED_BY
INC105948,CHG951452,CAUSED_BY
INC821211,CHG183336,CAUSED_BY
INC994889,CHG685472,CAUSED_BY
INC637145,CHG309385,CAUSED_BY
INC588337,CHG177767,CAUSED_BY
INC653348,CHG182175,CAUSED_BY
INC336170,CHG926596,CAUSED_BY
INC341281,CHG891645,CAUSED_BY
INC126658,CHG847006,CAUSED_BY
INC151604,CHG722899,CAUSED_BY
INC893359,CHG333365,CAUSED_BY
INC477898,CHG656329,CAUSED_BY
INC283120,CHG174299,CAUSED_BY
INC540279,CHG673619,CAUSED_BY
INC896806,CHG564687,CAUSED_BY
INC438199,CHG227352,CAUSED_BY
INC223542,CHG429657,CAUSED_BY
INC795466,CHG910894,CAUSED_BY
INC564919,CHG252928,CAUSED_BY
INC701195,CHG433299,CAUSED_BY
INC801569,CHG431773,CAUSED_BY
INC905947,CHG665484,CAUSED_BY
INC439566,CHG890785,CAUSED_BY
INC883068,CHG969752,CAUSED_BY
INC552266,CHG555673,CAUSED_BY
INC666618,CHG555673,CAUSED_BY
INC209898,CHG417212,CAUSED_BY
INC748865,CHG921967,CAUSED_BY
INC838425,CHG574843,CAUSED_BY
INC903524,CHG256294,CAUSED_BY
INC499812,CHG310608,CAUSED_BY
INC364255,CHG449773,CAUSED_BY
INC520927,CHG336047,CAUSED_BY
INC456222,CHG328552,CAUSED_BY
INC728850,CHG433451,CAUSED_BY
INC576752,CHG292988,CAUSED_BY
INC801188,CHG333164,CAUSED_BY
INC875167,CHG476224,CAUSED_BY
INC956397,CHG449773,CAUSED_BY
INC169730,CHG985364,CAUSED_BY
INC876043,CHG630458,CAUSED_BY
INC353495,CHG914504,CAUSED_BY
INC696431,CHG431773,CAUSED_BY
INC859252,CHG885161,CAUSED_BY
INC797694,CHG361055,CAUSED_BY
INC585884,CHG363165,CAUSED_BY
INC323885,CHG703656,CAUSED_BY
INC109089,CHG287555,CAUSED_BY
INC417970,CHG301224,CAUSED_BY
INC834543,CHG243260,CAUSED_BY
INC804441,CHG207581,CAUSED_BY
INC742321,CHG248533,CAUSED_BY
INC152427,CHG105547,CAUSED_BY
INC307324,CHG435476,CAUSED_BY
INC547242,CHG751051,CAUSED_BY
INC164612,CHG219169,CAUSED_BY
INC749954,CHG631221,CAUSED_BY
INC715754,CHG402692,CAUSED_BY
INC511284,CHG487345,CAUSED_BY
INC211161,CHG673619,CAUSED_BY
INC731871,CHG752801,CAUSED_BY
INC429429,CHG744883,CAUSED_BY
INC722691,CHG922157,CAUSED_BY
INC229934,CHG401610,CAUSED_BY
INC286644,CHG250647,CAUSED_BY
INC857886,CHG110142,CAUSED_BY
INC196321,CHG711680,CAUSED_BY
INC438637,CHG694223,CAUSED_BY
INC509735,CHG729718,CAUSED_BY
INC785376,CHG417915,CAUSED_BY
INC226169,CHG550089,CAUSED_BY
INC218055,CHG489439,CAUSED_BY
INC890315,CHG384303,CAUSED_BY
INC460137,CHG341288,CAUSED_BY
INC817237,CHG412938,CAUSED_BY
INC368207,CHG144316,CAUSED_BY
INC597939,CHG752801,CAUSED_BY
INC626461,CHG664939,CAUSED_BY
INC940231,CHG168093,CAUSED_BY
INC573668,CHG243260,CAUSED_BY
INC730320,CHG110060,CAUSED_BY
INC361140,CHG106658,CAUSED_BY
INC238410,CHG150947,CAUSED_BY
INC684352,CHG678478,CAUSED_BY
INC791915,CHG821590,CAUSED_BY
INC686852,CHG287555,CAUSED_BY
INC414932,CHG522548,CAUSED_BY
INC650044,CHG740140,CAUSED_BY
INC353063,CHG150947,CAUSED_BY
INC169556,CHG428487,CAUSED_BY
INC487470,CHG752011,CAUSED_BY
INC781749,CHG988432,CAUSED_BY
INC663513,CHG250647,CAUSED_BY
INC246514,CHG567896,CAUSED_BY
INC679459,CHG655149,CAUSED_BY
INC328514,CHG546915,CAUSED_BY
INC916902,CHG332823,CAUSED_BY
INC263482,CHG867934,CAUSED_BY
INC848085,CHG595158,CAUSED_BY
INC654584,CHG721946,CAUSED_BY
INC888142,CHG370782,CAUSED_BY
INC733754,CHG875753,CAUSED_BY
INC895337,CHG791505,CAUSED_BY
INC417624,CHG276831,CAUSED_BY
INC370620,CHG650311,CAUSED_BY
INC532689,CHG361055,CAUSED_BY
INC722273,CHG170835,CAUSED_BY
INC321314,CHG372427,CAUSED_BY
INC146675,CHG154127,CAUSED_BY
INC996777,CHG746947,CAUSED_BY
INC894101,CHG704570,CAUSED_BY
INC342765,CHG389279,CAUSED_BY
INC185992,CHG885161,CAUSED_BY
INC814511,CHG999695,CAUSED_BY
INC382444,CHG692447,CAUSED_BY
INC367386,CHG161132,CAUSED_BY
INC238882,CHG777737,CAUSED_BY
INC417923,CHG505298,CAUSED_BY
INC385015,CHG499669,CAUSED_BY
INC146008,CHG703634,CAUSED_BY
INC138394,CHG657783,CAUSED_BY
INC204955,CHG364525,CAUSED_BY
INC868019,CHG373903,CAUSED_BY
INC239070,CHG197573,CAUSED_BY
INC107993,CHG861265,CAUSED_BY
INC265042,CHG127470,CAUSED_BY
INC545525,CHG697717,CAUSED_BY
INC340897,CHG256294,CAUSED_BY
INC372271,CHG250038,CAUSED_BY
INC380808,CHG665883,CAUSED_BY
INC970753,CHG751051,CAUSED_BY
INC739731,CHG785491,CAUSED_BY
INC326632,CHG882032,CAUSED_BY
INC670821,CHG599127,CAUSED_BY
INC508253,CHG301224,CAUSED_BY
INC676444,CHG564687,CAUSED_BY
INC304163,CHG487345,CAUSED_BY
INC435940,CHG975679,CAUSED_BY
INC364168,CHG360735,CAUSED_BY
INC953869,CHG940247,CAUSED_BY
INC461287,CHG557239,CAUSED_BY
INC193519,CHG205345,CAUSED_BY
INC227154,CHG352356,CAUSED_BY
INC150106,CHG321791,CAUSED_BY
INC345224,CHG588557,CAUSED_BY
INC522218,CHG825686,CAUSED_BY
INC666881,CHG632929,CAUSED_BY
INC632006,CHG946112,CAUSED_BY
INC735015,CHG941403,CAUSED_BY
INC600801,CHG873291,CAUSED_BY
INC740084,CHG319162,CAUSED_BY
INC853443,CHG784167,CAUSED_BY
INC848719,CHG_INVALID_999,CAUSED_BY
INC730320,CHG_INVALID_999,CAUSED_BY
INC207599,CHG_INVALID_999,CAUSED_BY
INC461426,CHG_INVALID_999,CAUSED_BY
INC953779,CHG_INVALID_999,CAUSED_BY
INC768568,CHG_INVALID_999,CAUSED_BY
INC695642,CHG_INVALID_999,CAUSED_BY
INC789186,CHG_INVALID_999,CAUSED_BY
INC238882,CHG_INVALID_999,CAUSED_BY
INC357565,CHG_INVALID_999,CAUSED_BY
